Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
S,False,2020-04-20 16:52:15,<8MT,توسعه‌دهنده Node.js,2020-06-20 03:00:06,C,FT
J,False,2020-02-24 12:55:02,<12MT,توسعه‌دهنده Backend,2020-04-25 03:00:05,C,FT
J,True,2020-02-12 13:49:32,<8MT,توسعه‌دهنده C#,2020-04-13 03:00:05,C,FT
J,False,2020-08-18 15:46:48,<3MT,توسعه‌دهنده Front-end,2020-08-25 21:51:39,C,PT
,False,2017-05-01 20:23:08,,توسعه دهنده #C,2017-06-30 20:23:08,C,
J,False,2020-10-11 12:02:37,,Associate Product Manager,2020-11-08 01:27:52,C,FT
,False,2017-05-01 20:01:25,,توسعه دهنده Big Data,2017-06-30 20:01:25,C,
S,False,2020-02-12 14:00:42,<4MT,توسعه‌دهنده C#,2020-04-13 03:00:05,C,PT
S,False,2020-02-12 13:48:27,<8MT,توسعه‌دهنده Front End,2020-04-13 03:00:05,C,FT
S,False,2019-07-20 15:28:50,<4MT,طراح رابط کاربری (مشهد),2019-09-19 03:00:05,C,FT
J,False,2020-09-20 13:47:16,<6MT,توسعه‌دهنده نرم افزار,2020-11-20 03:00:11,C,FT
S,True,2020-04-11 11:07:39,<4MT,طراح UX,2020-06-11 03:00:05,C,FT
S,False,2019-08-13 11:24:14,<3MT,برنامه‌نویس Asp.net,2019-10-13 03:00:04,C,FT
S,False,2020-04-11 11:06:47,<8MT,توسعه‌دهنده Node.js) Full-Stack),2020-06-11 03:00:05,C,FT
S,False,2020-06-23 14:27:52,,Product Owner,2020-08-23 03:00:09,C,FT
I,False,2020-02-15 10:15:05,<1MT,توسعه‌دهنده Back-end,2020-04-16 03:00:06,C,PT
J,False,2020-02-16 12:06:52,,برنامه‌نویس بک اند,2020-04-17 03:00:05,C,FT
S,False,2019-12-14 14:23:32,<8MT,توسعه‌دهنده Front End,2020-02-13 03:00:05,C,FT
S,True,2020-04-11 11:07:56,<4MT,طراحی فروشگاه اینترنتی,2020-06-11 03:00:05,C,PR
S,False,2020-02-15 10:13:21,>12MT,Senior Data Engineer,2020-04-16 03:00:06,C,FT
S,False,2020-02-15 10:14:03,<8MT,Senior Front-end (VueJs) Developer,2020-04-16 03:00:06,C,FT
S,False,2020-04-12 12:57:24,>12MT,(Senior Python Developer (Germany,2020-06-12 03:00:05,C,FT
M,False,2019-08-14 14:28:33,<8MT,برنامه‌نویس اندروید,2019-10-14 03:00:05,C,FT
S,False,2020-07-25 14:00:50,,مدرس برنامه‌نویسی #C,2020-08-10 16:37:17,A,PT
S,False,2019-12-15 11:25:48,,توسعه‌دهنده Front End,2020-02-14 03:00:05,C,FT
I,False,2020-02-15 10:15:39,<1MT,توسعه‌دهنده Front End,2020-04-16 03:00:06,C,PT
J,False,2020-05-14 13:47:00,<4MT,برنامه‌نویس اندروید (Android Developer),2020-06-01 15:09:43,C,FT
J,False,2019-07-31 18:30:54,<3MT,برنامه‌نویس وب,2019-09-30 03:00:04,C,FT
J,True,2019-12-28 16:49:09,<6MT,توسعه‌دهنده NodeJS,2020-02-27 03:00:05,C,FT
S,True,2020-04-13 10:44:16,<2MT,توسعه‌دهنده اندروید,2020-06-13 03:00:06,C,PR
S,False,2019-12-28 10:09:33,<6MT,برنامه‌نویس Angular,2020-02-02 12:06:37,C,FT
,False,2017-05-29 14:21:00,,برنامه نویس Front-end,2017-07-28 14:21:00,C,
S,False,2020-06-20 11:39:45,<12MT,Scrum master,2020-08-20 03:00:09,C,FT
J,False,2019-12-02 10:35:32,<6MT,برنامه‌نویس یونیتی,2020-02-01 03:00:10,C,FT
J,False,2019-12-16 15:45:43,,توسعه‌دهنده فرانت اند Angular Developer,2020-02-15 03:00:05,C,PT
J,False,2019-12-16 15:45:21,,توسعه‌دهنده Nodejs,2020-02-15 03:00:05,C,PT
J,False,2020-04-18 13:46:27,<3MT,برنامه‌نویس Frontend,2020-06-18 03:00:05,C,PT
S,False,2019-12-16 17:46:26,,برنامه‌نویس ارشد Django) Back-End),2020-02-15 03:00:05,C,FT
S,False,2019-12-07 16:08:11,<6MT,توسعه‌دهنده Backend,2020-02-06 03:00:05,C,FT
J,True,2019-12-02 12:30:35,<3MT,توسعه‌دهنده Backend,2020-02-01 03:00:10,C,FT
S,False,2019-05-26 18:20:06,,JAVA J2se and J2me Programmer,2019-07-26 03:00:04,C,FT
S,True,2020-02-15 10:14:50,,کارشناس هوش مصنوعی,2020-03-10 09:42:19,C,FT
S,False,2020-04-13 10:44:35,<4MT,توسعه‌دهنده C#,2020-06-13 03:00:06,C,PT
J,True,2020-08-15 14:08:15,<12MT,Full Stack Developer.Net,2020-10-15 03:00:09,C,FT
S,False,2020-02-15 14:00:43,<8MT,برنامه‌نویس Reactjs,2020-04-16 03:00:06,C,FT
