action,application_id,interaction_time,notification_id,user_id
F,1,4489200,79,665
F,1,4489200,79,6280
F,1,4388400,78,14774
F,1,4410000,78,3152
C,1,4410000,72,3633
F,1,4410000,76,3633
F,1,4410000,78,13677
F,1,4410000,78,6149
F,1,4410000,78,7844
F,1,4410000,78,9797
F,1,4410000,78,13342
F,1,4410000,78,8044
F,1,4413600,78,12507
F,1,4413600,78,2179
F,1,4413600,78,14323
F,1,4413600,78,9214
F,1,4413600,78,17257
F,1,4413600,78,13805
F,1,4413600,78,253
F,1,4413600,78,3810
C,1,4413600,78,1033
F,1,4413600,78,10453
F,1,4417200,78,468
F,1,4417200,78,3094
F,1,4417200,78,17042
F,1,4410000,78,3633
F,1,4410000,78,7568
F,1,4410000,78,8594
F,1,4410000,78,105
F,1,4406400,78,2134
F,1,4410000,78,15761
F,1,4410000,78,16286
F,1,4410000,78,14418
F,1,4410000,78,8416
C,1,4413600,78,6518
F,1,4413600,78,12686
F,1,4413600,78,6954
F,1,4413600,78,9751
C,1,4413600,78,6763
F,1,4413600,78,575
F,1,4413600,78,6280
F,1,4413600,78,1429
F,1,4413600,78,15748
F,1,4413600,78,1169
F,1,4392000,78,437
F,1,4413600,78,2704
F,1,4413600,78,11179
F,1,4413600,78,359
F,1,4413600,78,13673
C,1,4410000,78,18
F,1,4392000,78,8252
F,1,4406400,78,5148
F,1,4410000,78,8933
F,1,4413600,78,15404
F,1,4410000,78,6996
F,1,4410000,78,8403
C,1,4413600,78,946
F,1,4413600,78,12029
C,1,4413600,78,15233
C,1,4417200,78,8650
F,2,4406400,77,11530
F,1,4413600,78,11850
F,1,4406400,78,16533
F,1,4406400,78,7157
F,1,4406400,78,6165
F,1,4406400,78,2976
F,1,4406400,78,11221
F,1,4417200,78,3066
F,1,4417200,78,2201
F,1,4388400,78,2285
F,1,4417200,78,5616
F,1,4388400,78,9263
F,1,4413600,78,9865
F,1,4395600,78,8141
F,1,4413600,78,17810
F,1,4417200,78,181
F,1,4417200,78,1091
F,1,4417200,78,3870
F,1,4406400,78,4169
F,1,4410000,78,3516
F,1,4410000,78,16650
F,1,4410000,78,14366
F,1,4410000,78,13627
F,1,4410000,78,12229
C,1,4424400,78,9213
F,1,4413600,78,5312
F,1,4395600,78,11481
F,1,4413600,78,13114
C,1,4413600,78,9472
F,1,4388400,78,12567
C,1,4413600,78,17626
F,2,4413600,77,11287
F,1,4413600,78,192
C,1,4413600,78,10632
F,1,4413600,78,10510
F,1,4413600,78,17569
C,1,4413600,78,17923
C,1,4420800,78,3093
F,1,4420800,78,16327
F,1,4420800,78,2765
F,1,4420800,78,9841
F,1,4402800,78,765
F,1,4402800,78,11345
F,1,4406400,78,5982
F,1,4424400,78,5576
F,1,4424400,78,13879
C,1,4417200,78,10082
C,1,4417200,78,16204
F,1,4417200,78,13552
F,1,4388400,78,9651
F,1,4413600,78,14757
F,1,4417200,78,11553
F,1,4417200,78,16366
F,1,4417200,78,2233
F,1,4424400,78,13136
F,1,4424400,78,8335
F,1,4388400,78,1219
F,1,4417200,78,3513
F,1,4392000,78,3497
F,1,4417200,78,1007
F,1,4417200,78,17746
F,1,4417200,78,16498
C,1,4420800,78,7340
C,1,4420800,78,766
F,1,4417200,78,8648
F,1,4420800,78,15866
F,1,4420800,78,6619
F,1,4075200,78,11421
F,1,4406400,78,282
C,1,4410000,78,10484
F,1,4410000,78,17004
F,1,4410000,78,7625
F,1,4410000,78,9174
F,1,4410000,78,2985
F,1,4410000,78,1172
F,1,4410000,78,11373
F,1,4410000,78,3125
F,1,4410000,78,9982
F,1,4410000,78,9367
F,2,4370400,77,15203
F,1,4410000,78,13227
F,1,4410000,78,12534
F,1,4410000,78,705
C,1,4410000,78,8351
F,1,4428000,78,16744
F,1,4428000,78,13008
C,1,4417200,78,15118
C,1,4417200,78,3884
F,1,4413600,78,17728
F,1,4417200,78,10020
F,1,4406400,78,16455
F,1,4420800,78,1595
F,1,4420800,78,5795
F,1,4420800,78,11876
F,1,4417200,78,6117
C,1,4428000,78,6104
F,1,4428000,78,29
F,1,4428000,78,1919
F,1,4428000,78,6859
F,1,4424400,78,17144
F,1,4424400,78,1895
C,1,4424400,78,4231
F,1,4424400,78,14733
F,1,4424400,78,5464
F,1,4413600,78,13219
F,1,4424400,78,5504
F,1,4428000,78,1236
C,1,4420800,78,9537
F,1,4392000,78,10206
F,1,4420800,78,16354
F,1,4388400,78,3271
F,2,4431600,77,120
F,1,4413600,78,11722
F,1,4413600,78,2344
F,1,4413600,78,12383
F,1,4413600,78,11261
F,1,4413600,78,13742
F,1,4525200,78,15732
F,1,4413600,78,13085
F,1,4424400,78,4013
F,1,4417200,78,5844
F,1,4424400,78,4365
F,1,4428000,78,15575
F,1,4431600,78,2719
F,1,4395600,78,15991
F,2,4428000,77,11471
F,1,4424400,78,5874
F,1,4424400,78,385
F,1,4424400,78,14096
F,1,4424400,78,10838
F,1,4417200,78,17415
F,1,4417200,78,7107
F,1,4420800,78,8947
F,1,4420800,78,15359
F,1,4420800,78,4065
F,1,4420800,78,2691
F,1,4420800,78,3913
F,1,4420800,78,16195
F,1,4420800,78,11686
F,1,4431600,78,852
F,1,4431600,78,13796
F,1,4431600,78,9760
F,1,4420800,78,198
C,1,4431600,78,3185
F,1,4399200,78,8045
C,1,4420800,78,16225
F,1,4420800,78,7369
F,1,4420800,78,12551
F,1,4420800,78,17858
F,1,4438800,78,10016
F,1,4438800,78,17360
F,2,4410000,77,7573
F,1,4431600,78,1838
F,1,4431600,78,4374
F,1,4428000,78,14962
C,1,4428000,78,2797
F,1,4428000,78,11059
F,1,4428000,78,1294
F,1,4438800,78,9140
F,2,4442400,77,14893
F,1,4442400,78,15968
C,1,4420800,78,9884
C,1,4420800,78,10373
C,1,4420800,78,6487
F,1,4420800,78,11670
F,1,4420800,78,11691
F,1,4392000,78,236
F,1,4420800,78,15751
F,1,4420800,78,9979
F,1,4420800,78,7639
F,1,4417200,78,5990
F,1,4420800,78,7533
F,1,4456800,78,12788
F,2,4446000,77,7272
F,2,4431600,77,10641
F,1,4431600,78,2479
C,2,4431600,77,976
F,1,4474800,72,12788
F,1,4471200,67,7103
F,2,3571200,57,4399
