,weight2011,weight2021,height2011,height2021
0,75.0,68,188.0,184
1,69.0,75,172.0,185
2,75.0,70,180.0,173
3,63.0,75,171.0,176
4,71.0,63,174.0,177
5,66.0,81,175.0,184
6,76.0,70,182.0,172
7,83.0,70,185.0,175
8,75.0,68,185.0,175
9,72.0,79,177.0,195
10,77.0,71,186.0,174
11,78.0,76,187.0,182
12,78.0,77,184.0,190
13,75.0,84,180.0,196
14,79.0,76,187.0,177
15,82.0,78,190.0,175
16,74.0,79,175.0,192
17,75.0,82,175.0,188
18,92.0,84,194.0,183
19,72.0,83,175.0,187
20,59.0,77,161.0,188
21,82.0,75,187.0,191
22,65.0,68,185.0,180
23,75.0,72,183.0,168
24,67.0,70,178.0,177
25,73.0,74,186.0,185
26,70.0,71,175.0,177
27,83.0,83,188.0,186
28,61.0,82,170.0,190
29,78.0,63,188.0,170
30,70.0,70,181.0,173
31,70.0,92,187.0,194
32,78.0,73,188.0,175
33,70.0,75,177.0,180
34,79.0,57,186.0,161
35,64.0,80,173.0,195
36,70.0,60,178.0,170
37,83.0,77,189.0,179
38,78.0,86,185.0,196
39,72.0,70,175.0,169
40,70.0,70,177.0,174
41,74.0,71,188.0,172
42,69.0,77,175.0,182
43,79.0,75,191.0,185
44,77.0,72,191.0,181
45,79.0,60,186.0,165
46,79.0,66,185.0,170
47,67.0,70,176.0,181
48,76.0,83,189.0,196
49,71.0,72,178.0,175
50,77.0,68,187.0,171
51,84.0,77,188.0,178
52,63.0,74,170.0,186
53,79.0,84,184.0,187
54,80.0,58,186.0,168
55,77.0,71,184.0,177
56,69.0,66,168.0,181
57,70.0,74,180.0,181
58,78.0,95,183.0,194
59,85.0,68,183.0,168
60,69.0,83,179.0,194
61,71.0,73,179.0,180
62,80.0,80,188.0,187
63,67.0,70,173.0,177
64,79.0,70,178.0,175
65,70.0,67,174.0,174
66,70.0,81,182.0,195
67,73.0,65,180.0,167
68,75.0,77,185.0,187
69,87.0,71,185.0,178
70,60.0,68,169.0,178
71,72.0,75,178.0,182
72,80.0,79,180.0,183
73,73.0,77,181.0,183
74,63.0,76,165.0,185
75,72.0,68,181.0,187
76,75.0,82,183.0,183
77,78.0,75,183.0,179
78,80.0,83,193.0,189
79,82.0,67,179.0,179
80,74.0,88,179.0,192
81,73.0,77,183.0,186
82,74.0,64,187.0,175
83,76.0,65,190.0,174
84,84.0,82,183.0,187
85,80.0,78,188.0,185
86,75.0,83,164.0,186
87,69.0,70,175.0,179
88,87.0,78,185.0,193
89,77.0,68,187.0,178
90,67.0,65,172.0,180
91,77.0,80,184.0,184
92,80.0,72,191.0,180
93,86.0,82,188.0,190
94,76.0,69,184.0,175
95,88.0,83,190.0,183
96,84.0,75,192.0,185
97,73.0,77,177.0,173
98,72.0,77,184.0,184
99,80.0,79,186.0,184
100,72.0,66,178.0,167
101,83.0,72,186.0,184
102,76.0,76,181.0,181
103,82.0,76,186.0,180
104,69.0,85,180.0,195
105,64.0,77,168.0,172
106,75.0,70,181.0,185
107,69.0,80,170.0,182
108,78.0,65,183.0,165
109,73.0,63,178.0,165
110,87.0,90,185.0,183
111,72.0,74,178.0,184
112,70.0,72,172.0,178
113,91.0,73,195.0,179
114,68.0,83,178.0,188
115,80.0,75,189.0,179
116,85.0,72,183.0,185
117,75.0,84,183.0,187
118,75.0,78,183.0,181
119,80.0,76,188.0,183
120,77.0,82,185.0,186
121,77.0,60,180.0,170
122,84.0,83,186.0,190
123,97.0,83,198.0,188
124,70.0,65,185.0,181
125,80.0,75,192.0,170
126,73.0,67,178.0,170
127,83.0,75,192.0,185
128,83.0,83,185.0,185
129,69.0,80,172.0,193
130,75.0,74,184.0,181
131,74.0,82,177.0,186
132,68.0,78,178.0,183
133,72.0,66,173.0,177
134,79.0,67,181.0,169
135,72.0,78,181.0,179
136,79.0,76,185.0,184
137,75.0,62,181.0,173
138,79.0,72,182.0,179
139,79.0,68,179.0,174
140,72.0,62,188.0,167
141,72.0,82,180.0,188
142,71.0,81,193.0,191
143,78.0,84,186.0,193
144,74.0,64,178.0,178
145,81.0,74,188.0,178
146,78.0,70,185.0,177
147,68.0,81,171.0,183
148,83.0,73,183.0,180
149,74.0,85,180.0,193
150,84.0,66,191.0,168
151,80.0,72,185.0,177
152,78.0,85,186.0,192
153,82.0,71,189.0,175
154,72.0,68,178.0,180
155,68.0,85,176.0,194
156,74.0,88,177.0,191
157,77.0,88,183.0,193
158,68.0,71,177.0,174
159,76.0,65,185.0,172
160,75.0,73,185.0,177
161,78.0,80,183.0,192
162,70.0,77,176.0,180
163,86.0,72,195.0,183
164,76.0,72,186.0,179
165,72.0,86,173.0,188
166,75.0,80,180.0,183
167,75.0,88,184.0,189
168,76.0,78,183.0,192
169,89.0,74,198.0,186
170,78.0,83,193.0,186
171,80.0,84,178.0,191
172,68.0,72,175.0,178
173,76.0,92,193.0,193
174,75.0,77,180.0,187
175,80.0,75,184.0,184
176,76.0,79,180.0,183
177,89.0,88,194.0,190
178,77.0,67,183.0,175
179,67.0,76,171.0,180
180,73.0,75,190.0,183
181,83.0,73,185.0,183
182,80.0,78,180.0,189
183,78.0,78,187.0,178
184,90.0,78,194.0,186
185,80.0,79,186.0,177
186,75.0,60,178.0,165
187,65.0,74,173.0,184
188,77.0,70,179.0,179
189,87.0,80,188.0,190
190,81.0,74,180.0,185
191,70.0,66,170.0,169
192,78.0,76,185.0,179
193,76.0,77,182.0,183
194,73.0,81,181.0,186
195,75.0,67,177.0,169
196,68.0,86,184.0,189
197,82.0,77,184.0,184
198,76.0,84,180.0,186
199,67.0,75,174.0,191
200,65.0,79,175.0,181
201,81.0,72,180.0,187
202,82.0,70,187.0,173
203,80.0,74,185.0,177
204,72.0,66,175.0,170
205,83.0,70,186.0,185
206,78.0,68,179.0,173
207,81.0,78,180.0,189
208,77.0,68,184.0,182
209,74.0,60,181.0,165
210,78.0,72,182.0,173
211,73.0,68,179.0,177
212,76.0,70,179.0,180
213,84.0,84,187.0,192
214,76.0,65,183.0,183
215,79.0,88,179.0,188
216,93.0,70,183.0,175
217,70.0,68,183.0,173
218,60.0,59,172.0,159
219,83.0,94,184.0,194
220,81.0,70,187.0,182
221,72.0,76,181.0,188
222,72.0,65,170.0,170
223,77.0,78,187.0,177
224,74.0,74,185.0,184
225,65.0,80,175.0,193
