Au8,Au8_CN,Au,Ag,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,Hg,K,La,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Th,Ti,V,Y,Zn
0.67,32.4,2.068,1.7,5300,649,12,205,300,97,18,3,6,24300,3,3600,57,200,21,5,11,900,1227,27600,592,16,22,18,10,21,388
0.08,8.82,0.907,0.8,6900,451,13,345,400,103,16,2,4,14100,1,3500,59,200,20,4,14,1180,251,17600,237,20,22,19,9,18,567
0.04,6.8,0.588,0.9,6900,1007,17,210,400,98,18,2,11,14000,2,4000,55,200,16,2,15,990,121,17700,317,18,22,22,10,17,552
0.55,7.0,7.855,1.1,10600,19627,13,140,500,94,102,2,21,25000,26,3400,53,200,17,5,89,1240,158,37300,1454,25,24,22,18,21,5965
0.15,20.6,0.728,21.3,7900,5776,14,123,1800,75,44,3,13,60100,9,3600,43,200,30,3,45,1430,17270,69700,582,28,19,20,10,20,1394
0.29,17.63,1.645,0.8,8700,21955,16,189,2900,113,35,5,21,27700,25,3500,63,700,1169,3,28,1520,247,32900,1944,45,21,29,17,22,623
0.19,7.77,2.4459999999999997,0.8,5200,7377,15,121,900,107,25,6,55,23000,40,3400,62,300,35,4,28,1180,180,28200,418,31,22,32,10,13,322
0.17,7.98,2.131,1.6,2500,4317,12,366,4200,124,11,3,9,31200,8,2600,72,1100,1479,3,12,950,384,26700,1033,33,25,21,8,8,105
0.08,4.08,1.96,0.8,3400,5156,23,228,5700,116,10,2,13,24900,9,2900,68,1600,731,3,13,1020,219,25000,193,41,23,21,7,9,144
0.25,38.58,0.648,0.8,4200,8035,25,199,8800,85,9,4,6,28200,5,3700,47,2700,1095,6,8,1020,359,23500,151,29,21,27,8,8,85
0.32,8.94,3.58,0.7,4100,5212,21,189,2400,79,14,3,58,29000,23,3700,44,300,581,3,12,1050,449,27700,528,17,21,28,9,7,129
1.72,13.7,12.552999999999999,1.4,6000,107336,11,71,1700,61,17,3,28,22000,180,3300,35,200,453,1,16,890,71,61900,4218,58,15,24,10,10,680
1.47,16.36,8.988,1.0,7600,108350,10,48,1400,69,24,3,9,16800,86,3200,40,200,73,3,25,890,132,60400,4262,44,16,24,12,13,686
1.45,10.06,14.415999999999999,0.9,5300,2716,25,68,2400,98,19,4,12,33200,12,4000,57,300,148,4,14,1100,185,34400,146,15,23,22,17,8,136
0.74,4.86,15.225999999999999,0.7,4900,2021,29,107,2200,84,9,3,8,21000,13,4200,48,300,366,3,7,980,44,20700,3502,14,21,25,18,6,33
0.36,5.99,6.01,1.4,3500,10792,34,86,2200,111,13,4,45,39600,23,3400,66,300,780,3,11,990,215,37400,1220,20,26,21,9,5,57
0.42,9.29,4.52,5.3,7300,3833,10,103,200,97,99,2,574,26800,106,2900,54,100,8,3,56,1680,68,34100,7893,28,25,13,8,16,1667
0.21,6.65,3.16,1.3,8600,10859,13,133,100,99,147,2,79,28500,58,3100,56,200,7,3,73,2500,255,39500,9277,19,26,11,10,19,3179
0.19,7.04,2.7,0.5,9300,992,18,187,400,79,30,2,4,22000,2,3100,43,200,7,3,25,1200,113,24900,71,41,22,10,7,15,1417
0.34,21.94,1.55,0.8,2900,1524,104,100,2100,52,10,2,5,24500,5,2800,29,200,21,4,8,870,197,27500,150,17,21,47,7,6,200
