author,num_pages_grp,0
A.B. Yehoshua,250-499,1
A.B. Yehoshua,500-749,1
A.D.P. Briggs,250-499,1
A.E. Cunningham,<250,1
A.J. Jacobs,250-499,1
A.M. Homes,250-499,1
A.N. Roquelaure,500-749,1
A.N. Roquelaure,<250,3
A.S. Byatt,250-499,1
A.S. Byatt,500-749,1
Abbie Hoffman,<250,1
Abdul Rahman Munif,500-749,1
Abigail Adams,500-749,1
Abigail Thomas,<250,1
Abolqasem Ferdowsi,750-999,1
Abraham Lincoln,500-749,1
Abraham Lincoln,750-999,1
Abraham Lincoln,<250,2
Adam  Sexton,<250,1
Adam Drozdek,500-749,1
Adam Drozdek,750-999,1
Adam Ginsberg,250-499,1
Adam Gopnik,250-499,2
Adam Hochschild,250-499,3
Adam Mansbach,250-499,1
Adam Rex,<250,1
Adam Smith,>=1000,2
Adam Swift,<250,2
Adam Woog,<250,1
Adolfo Bioy Casares,250-499,1
Adrian Guelke,500-749,1
Adrian McKinty,250-499,3
Adèle Geras,<250,1
Aeschylus,250-499,4
Aeschylus,<250,10
Aesop,250-499,1
Aesop,<250,1
Agatha Christie,250-499,20
Agatha Christie,500-749,4
Agatha Christie,750-999,1
Agatha Christie,<250,20
Ai Morinaga,<250,1
Aidan Hartley,250-499,1
Aimee Bender,<250,1
Aimé Césaire,<250,2
Akira Yoshida,<250,1
Al Franken,250-499,3
Al Franken,<250,1
Al Gore,250-499,1
Al Ries,250-499,1
Al Ries,<250,4
Alain de Botton,250-499,5
Alain de Botton,<250,2
Alan  Lee,<250,1
Alan Aldridge,250-499,1
Alan Brennert,250-499,1
Alan Cohen,250-499,1
Alan Dean Foster,250-499,18
Alan Dean Foster,750-999,1
Alan Dean Foster,<250,4
Alan Hausman,500-749,1
Alan Hollinghurst,250-499,2
Alan Lightman,250-499,1
Alan Lightman,<250,1
Alan MacGillivray,<250,1
Alan Moore,250-499,2
Alan Paton,250-499,2
Alan Paton,<250,1
Alastair Lamb,<250,1
Albert Camus,250-499,6
Albert Camus,500-749,1
Albert Camus,<250,15
Albert Demeo,250-499,1
Albert Einstein,250-499,1
Albert Einstein,<250,3
Albert Ellis,250-499,1
Albert Jack,250-499,1
Albert Marrin,<250,1
Albert Speer,250-499,1
Alcoholics Anonymous,250-499,1
Alcoholics Anonymous,500-749,1
Alden T. Vaughan,<250,1
Aldon D. Morris,250-499,1
Aldous Huxley,250-499,13
Aldous Huxley,<250,3
Alec MacLellan,<250,1
Aleksandr Solzhenitsyn,500-749,1
Aleksandr Solzhenitsyn,<250,1
Alex Austin,<250,1
Alex C. Jones,250-499,1
Alex Constantine,250-499,1
Alex Cox,<250,1
Alex Kotlowitz,250-499,1
Alex Ross,250-499,1
Alex Went,<250,1
Alexander  Walker,250-499,1
Alexander C. Irvine,250-499,1
Alexander Heidel,250-499,1
Alexander Hunter,500-749,1
Alexander McCall Smith,250-499,6
Alexander McCall Smith,<250,11
Alexander Payne,<250,2
Alexander Pope,500-749,1
Alexander Pope,750-999,1
Alexander Pushkin,250-499,3
Alexander Pushkin,<250,4
Alexander Pushkin,>=1000,1
Alexandra Moss,<250,3
Alexandra Robbins,250-499,1
Alexandra Siy,<250,1
Alexandre Dumas,250-499,1
Alexandre Dumas,500-749,3
Alexandre Dumas,750-999,1
Alexandre Dumas,<250,2
Alexandre Dumas,>=1000,2
Alexandre Dumas fils,250-499,1
Alexis de Tocqueville,250-499,1
Alexis de Tocqueville,500-749,2
Alexis de Tocqueville,750-999,1
Alfred D. Chandler Jr.,500-749,1
Alfred Hitchcock,500-749,1
Alfred Uhry,<250,1
Ali Vali,<250,1
Alice   Miller,<250,3
Alice Dalgliesh,<250,2
Alice Hoffman,250-499,5
Alice Hoffman,<250,2
Alice Kaplan,250-499,1
Alice Medrich,250-499,1
Alice Medrich,<250,3
Alice Munro,250-499,6
Alice Munro,500-749,2
Alice Munro,<250,2
