name
J.K. Rowling
W. Frederick Zimmerman
Douglas Adams
Bill Bryson
J.R.R. Tolkien
Chris   Smith
Jude Fisher
Dave Thomas
Gary Paulsen
Donna Ickes
Molly Hatchet
Dale Peck
Angela Knight
Delia Sherman
Patricia A. McKillip
Zilpha Keatley Snyder
Kate Horsley
Philippa Carr
Edward P. Jones
Satyajit Das
Mark Smylie
John McPhee
Wendy Wasserstein
Heidi Hayes Jacobs
Heidi Boyd
Heidi Baker
Johanna Spyri
Rolland Baker
Heidi Murkoff
Heidi Fleiss
Frank Herbert
Brian Herbert
Gary Russell
Bryce Courtenay
John C. Maxwell
Dave Lakhani
Louis E. Catron
Adam Ginsberg
Marsha Collier
Chris Malta
Julia Wilkinson
Lucas Carlson
Ruby Ann Boxcar
Rob Orsini
Leo Tolstoy
Marianne Sturman
Gloria Goldreich
Anthony Thorlby
Mulk Raj Anand
John Banville
Eliot Ness
Narendra Jadhav
V.T. Rajshekar
Vasant Moon
Barry R. Cournoyer
John Carratello
George Smoot
Madeleine L'Engle
Tara MacCarthy
Cynthia Harrod-Eagles
Charles Todd
Ewan McGregor
Daniel Abraham
Charles Willeford
Tom Wolfe
Edward Lear
Quentin Blake
Henry Miller
Henry James
Marguerite Duras
Kahlil Gibran
Jean Gibran
Robert Louis Stevenson
Deidre S. Laiken
Ralph Ginzburg
Gabriel García Márquez
Dr. Seuss
Debbie Raleigh
Kevin Henkes
Patrick Süskind
Robert A. Heinlein
Nick  Webb
Terry Jones
Susan Nanus
Harry G. Frankfurt
Nick Flynn
Garry Wills
Abraham Lincoln
Don DeLillo
Thomas Pynchon
Richard Fariña
Joan Didion
Paul Auster
Peter Moon
Jared Diamond
Stephen Leeb
Joseph A. Tainter
Robert D. Putnam
Philip K. Howard
Joy Harjo
Nikola Tesla
Marc J.  Seifer
Carol Dommermuth-Costa
Julie Elizabeth Leto
Maureen Kelly
William Golding
Victor Davis Hanson
Ephraim Sevela
Alice Sebold
Sharyn McCrumb
Dave Shea
Elizabeth Castro
Michael Ochs
Chuck Klosterman
Jane Feather
Robert M. Pirsig
Kevin O'Malley
Ronald L. DiSanto
John Harold Haynes
Catharine M. Fishel
Ayn Rand
J.J. Isler
Colin  Wells
Billy Collins
Christopher Caswell
Kevin Trudeau
Bernard Malamud
Anne Tyler
Gary Colombo
Thomas E. Skidmore
Philip Roth
Jon   Stewart
Brian Greene
Upasika Kee Nanayon
Rob Humphreys
Lonely Planet
H.G. Bissinger
Neal Stephenson
Dan Harrington
Donald A. Norman
Alex C. Jones
Paulo Coelho
Hiromu Arakawa
Robert   Harris
Edward Bulwer-Lytton
John Steinbeck
Neil Strauss
Ellen Raskin
Arthur Golden
David        James
Mineko Iwasaki
J. Torres
Margaret Johnson
Gary Chapman
Dan Brown
P.J. Parrish
Thomas J. Stanley
Napoleon Hill
Mike   Mason
Riki Anne Wilchins
Donald J. Trump
George S. Clason
Trevanian
David McCullough
Peter  Stone
Robert J. Allison
Pearl S. Buck
Rick Warren
Eric Schlosser
Lisa See
John Grisham
Robert A. Caro
Stephen W. Frey
Bill Phillips
Pamela Peeke
Robert G. Hagstrom
Robert P. Miles
Marvin N. Olasky
Barbara Park
Sarah Mlynowski
Michael   Lewis
Frank McConnell
Ursula Ferrigno
Giada De Laurentiis
Tyler Florence
Steven D. Levitt
Barry Eisler
Yann Martel
Robert Templer
James Frey
Python Bonkers
James Pinocchio
James M. Kouzes
Donald T. Phillips
Gary Yukl
Rudolph W. Giuliani
John Gray
Ron  Louis
Jean M. Auel
Doug Walsh
Robert Greene
Steven Pressfield
Margaret Weis
Thomas Harlan
Stephen J. Rosen
David J. Danelo
Plato
Josef Pieper
Herodotus
Homer
Virgil
Ed Roberson
Paul  Kirk
William Shakespeare
Reduced Shakespeare Company
Carla Lynn Stockton
Giorgio De Santillana
Thucydides
Cynthia W. Shelmerdine
Euripides
Anne Carson
Wole Soyinka
William Allan
Robert J. Milch
Aeschylus
Simon Goldhill
Sophocles
Aristophanes
W. John Campbell
Douglas M. MacDowell
Andrea Wilson Nightingale
Mark Haddon
George Pelecanos
Annie Proulx
David    Allen
Geoffrey M. Bellman
Ricardo Piglia
Karen  O'Connor
Ernesto Sabato
Augustine of Hippo
Peter R.L. Brown
Henry Chadwick
Anthony Bourdain
Ovid
Norma Goldman
Michael C.J. Putnam
Charles Segal
Richard Johnsonbaugh
Daniel Pinchbeck
Jon Ronson
Daniel Duane
Jon Krakauer
John Eldredge
Jung Chang
Nelson DeMille
Catherine Coulter
Jack London
Judy Sierra
Charles P. Rubenstein
Barbara Ehrenreich
Michel Foucault
Sue Birtwistle
Jane Austen
David  Roberts
Valerian Albanov
Thomas L. Friedman
David McClung
Arthur J. Roth
Louisa May Alcott
Charles Dickens
SparkNotes
James B. Stewart
Julia Golding
Daniel Pool
Jane Smiley
Colleen Sexton
Philip Nel
Sean O'Brien
Radcliffe G. Edmonds III
Paul Anthony Cartledge
Raymond Chandler
Paul Murray
Patti   Davis
Masaki Yamada
Daniel C. Dennett
Nicholas Humphrey
Douglas R. Hofstadter
Stephen Hawking
David Filkin
John Boslough
Lawrence M. Krauss
Phillip Glasier
Timothy Ferris
Nancy L. Mace
Jorge Cruise
Thom Hartmann
Michael Cunningham
Malcolm Gladwell
Ted Dekker
Mark Hoppus
Karen Joy Fowler
Kim Wilson
Ernest Hemingway
Jeanne Sallade Criswell
Julian Barnes
Gustave Flaubert
Jean-Paul Sartre
Jeffrey Eugenides
Doris Kearns Goodwin
Thomas May
Abigail Adams
Joseph J. Ellis
John  Adams
Ruth Westheimer
Jennifer Watson
David D. Burns
Elisabeth Kübler-Ross
Lynne Ann DeSpelder
Mark Shepard
Stephen R. Covey
Dan Millman
Lance Armstrong
John Wilcockson
Truman Capote
Margaret Truman
Steven Johnson
Temple Grandin
Iris Fry
Edith Wharton
Ruth S. Noel
E.V. Gordon
Sarah M.  Anderson
Jeffery Deaver
Paul Yee
Herman Melville
Jan Needle
Michael J. Davey
Geraldine McCaughrean
Edward F. Edinger
Julian Markels
Elizabeth A. Schultz
Steve Martini
Terry Pratchett
Mark Twain
Susan  Griffith
Theocritus
Hesiod
H.G. Wells
Joseph McMoneagle
Umberto Eco
Henri J.M. Nouwen
Timothy B. Tyson
José Saramago
Jack Kerouac
Mark Stevens
Julie Sylvester
David  Allen
Sun Tzu
Al Ries
Seth Godin
Clayton M. Christensen
Erasmus
Harper Lee
David H. Chilton
Jonathan Swift
Xavier de C.
Geoffrey Chaucer
Helen  Cooper
Mark Kurlansky
Deloris Jordan
Monique Truong
Abdul Rahman Munif
Kim Stanley Robinson
Walter Benjamin
Saul Steinberg
Philip Dutre
David Guterson
Dave Pelzer
William S. Pollack
Douglas Coupland
Jean Aitchison
Ernest Becker
Howard Zinn
Richard Hollis
Lisa Lowe
Jonathan Hale
David Bodanis
Rolland Hein
Friedrich Nietzsche
Alastair Lamb
Katherine Paterson
Emil M. Cioran
Tanya Huff
Tracy Chevalier
Rosalind Laker
Tom Hunter
Tite Kubo
Tsugumi Ohba
Valerie Parv
Mike  Rowe
Daniel Defoe
James Hilton
Nancy Friday
Frances Hodgson Burnett
Martha Hailey DuBose
Ann Thwaite
Amy Cotler
Thomas Sowell
Selina Shirley Hastings
Alcoholics Anonymous
Overeaters Anonymous
Kimon Nicolaides
Andrew Weil
Lawrence M. Lasher
Matthew Barber
Elizabeth von Arnim
E.M. Forster
Lionel Trilling
P.N. Furbank
Robert Hellenga
Gordon S. Wood
Gordon Korman
Deborah  Gordon
Ivo Andrić
Jean Estoril
Aristotle
David Grene
Alan Brennert
Eric Jensen
Angus Gellatly
Isabel Allende
Open City Magazine
Wallace Stegner
Steve Krug
Louis de Bernières
Faïza Guène
Lawrence Otis Graham
Otis Williams
Colleen McCullough
Jill Colella
Mitch Albom
Tim O'Brien
Nicholas Sparks
Gwyn Hyman Rubio
Lori Avocato
