bookID,title,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,author,lang,publisher,num_pages_grp
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,439785960,9780440000000.0,652,2095690,27591,9/16/2006,J.K. Rowling,eng,Scholastic Inc.,500-749
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,439358078,9780440000000.0,870,2153167,29221,9/1/2004,J.K. Rowling,eng,Scholastic Inc.,750-999
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,439554896,9780440000000.0,352,6333,244,11/1/2003,J.K. Rowling,eng,Scholastic,250-499
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,043965548X,9780440000000.0,435,2339585,36325,5/1/2004,J.K. Rowling,eng,Scholastic Inc.,250-499
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,439682584,9780440000000.0,2690,41428,164,9/13/2004,J.K. Rowling,eng,Scholastic,>=1000
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,976540606,9780980000000.0,152,19,1,4/26/2005,W. Frederick Zimmerman,en-US,Nimble Books,<250
10,Harry Potter Collection (Harry Potter  #1-6),4.73,439827604,9780440000000.0,3342,28242,808,9/12/2005,J.K. Rowling,eng,Scholastic,>=1000
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,517226952,9780520000000.0,815,3628,254,11/1/2005,Douglas Adams,eng,Gramercy Books,750-999
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,345453743,9780350000000.0,815,249558,4080,4/30/2002,Douglas Adams,eng,Del Rey Books,750-999
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,1400052920,9781400000000.0,215,4930,460,8/3/2004,Douglas Adams,eng,Crown,<250
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,739322206,9780740000000.0,6,1266,253,3/23/2005,Douglas Adams,eng,Random House Audio,<250
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,517149257,9780520000000.0,815,2877,195,1/17/1996,Douglas Adams,eng,Wings Books,750-999
21,A Short History of Nearly Everything,4.21,076790818X,9780770000000.0,544,248558,9396,9/14/2004,Bill Bryson,eng,Broadway Books,500-749
22,Bill Bryson's African Diary,3.44,767915062,9780770000000.0,55,7270,499,12/3/2002,Bill Bryson,eng,Broadway Books,<250
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,767910435,9780770000000.0,256,2088,131,9/14/2004,Bill Bryson,eng,Broadway Books,250-499
24,In a Sunburned Country,4.07,767903862,9780770000000.0,335,72451,4245,5/15/2001,Bill Bryson,eng,Broadway Books,250-499
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,076790382X,9780770000000.0,304,49240,2211,6/28/2000,Bill Bryson,eng,Broadway Books,250-499
