,cnt,t_real,t_feels_like,humidity,wind_speed,is_weekend,season
0,182,3.0,2.0,93.0,6.0,1.0,3.0
1,138,3.0,2.5,93.0,5.0,1.0,3.0
2,134,2.5,2.5,96.5,0.0,1.0,3.0
3,72,2.0,2.0,100.0,0.0,1.0,3.0
4,47,2.0,0.0,93.0,6.5,1.0,3.0
5,46,2.0,2.0,93.0,4.0,1.0,3.0
6,51,1.0,-1.0,100.0,7.0,1.0,3.0
7,75,1.0,-1.0,100.0,7.0,1.0,3.0
8,131,1.5,-1.0,96.5,8.0,1.0,3.0
9,301,2.0,-0.5,100.0,9.0,1.0,3.0
10,528,3.0,-0.5,93.0,12.0,1.0,3.0
11,727,2.0,-1.5,100.0,12.0,1.0,3.0
12,862,2.0,-1.5,96.5,13.0,1.0,3.0
13,916,3.0,-0.5,87.0,15.0,1.0,3.0
14,1039,2.5,0.0,90.0,8.0,1.0,3.0
15,869,2.0,-1.5,93.0,11.0,1.0,3.0
16,737,3.0,0.0,93.0,12.0,1.0,3.0
17,594,3.0,0.0,93.0,11.0,1.0,3.0
18,522,3.0,1.5,93.0,6.5,1.0,3.0
19,379,3.0,1.0,93.0,7.0,1.0,3.0
20,328,3.0,3.0,93.0,4.0,1.0,3.0
21,221,3.0,2.5,93.0,5.0,1.0,3.0
22,178,3.0,2.0,93.0,6.0,1.0,3.0
23,157,4.0,3.5,87.0,5.0,1.0,3.0
24,83,4.0,3.0,93.0,6.0,0.0,3.0
25,67,4.0,3.5,93.0,5.0,0.0,3.0
26,32,5.0,4.0,87.0,6.0,0.0,3.0
27,22,6.0,4.5,84.0,7.5,0.0,3.0
28,38,6.5,5.0,84.0,8.0,0.0,3.0
29,81,6.0,5.5,87.0,5.0,0.0,3.0
30,444,7.0,6.5,81.0,5.0,0.0,3.0
31,1597,7.0,6.0,81.0,6.5,0.0,3.0
32,3161,8.0,7.5,79.0,5.0,0.0,3.0
33,1342,8.0,7.0,82.0,6.0,0.0,3.0
34,568,9.0,8.0,84.5,6.5,0.0,3.0
