cnt,t1,t2,humidity,wind_speed,is_weekend,season
182,3.0,2.0,93.0,6.0,1.0,3.0
138,3.0,2.5,93.0,5.0,1.0,3.0
134,2.5,2.5,96.5,0.0,1.0,3.0
72,2.0,2.0,100.0,0.0,1.0,3.0
47,2.0,0.0,93.0,6.5,1.0,3.0
46,2.0,2.0,93.0,4.0,1.0,3.0
51,1.0,-1.0,100.0,7.0,1.0,3.0
75,1.0,-1.0,100.0,7.0,1.0,3.0
131,1.5,-1.0,96.5,8.0,1.0,3.0
301,2.0,-0.5,100.0,9.0,1.0,3.0
528,3.0,-0.5,93.0,12.0,1.0,3.0
727,2.0,-1.5,100.0,12.0,1.0,3.0
862,2.0,-1.5,96.5,13.0,1.0,3.0
916,3.0,-0.5,87.0,15.0,1.0,3.0
1039,2.5,0.0,90.0,8.0,1.0,3.0
869,2.0,-1.5,93.0,11.0,1.0,3.0
737,3.0,0.0,93.0,12.0,1.0,3.0
594,3.0,0.0,93.0,11.0,1.0,3.0
522,3.0,1.5,93.0,6.5,1.0,3.0
379,3.0,1.0,93.0,7.0,1.0,3.0
328,3.0,3.0,93.0,4.0,1.0,3.0
221,3.0,2.5,93.0,5.0,1.0,3.0
178,3.0,2.0,93.0,6.0,1.0,3.0
157,4.0,3.5,87.0,5.0,1.0,3.0
83,4.0,3.0,93.0,6.0,0.0,3.0
67,4.0,3.5,93.0,5.0,0.0,3.0
32,5.0,4.0,87.0,6.0,0.0,3.0
22,6.0,4.5,84.0,7.5,0.0,3.0
38,6.5,5.0,84.0,8.0,0.0,3.0
81,6.0,5.5,87.0,5.0,0.0,3.0
444,7.0,6.5,81.0,5.0,0.0,3.0
1597,7.0,6.0,81.0,6.5,0.0,3.0
3161,8.0,7.5,79.0,5.0,0.0,3.0
1342,8.0,7.0,82.0,6.0,0.0,3.0
568,9.0,8.0,84.5,6.5,0.0,3.0
584,9.0,7.5,90.5,10.0,0.0,3.0
762,10.0,8.0,85.0,11.0,0.0,3.0
873,10.0,8.5,82.0,10.0,0.0,3.0
672,10.0,9.0,82.0,9.0,0.0,3.0
807,10.0,8.5,79.0,10.0,0.0,3.0
1192,10.0,8.5,73.5,13.0,0.0,3.0
2761,9.5,7.5,73.5,12.0,0.0,3.0
2389,9.5,7.5,69.0,14.0,0.0,3.0
1274,9.0,6.5,71.0,14.0,0.0,3.0
696,9.0,7.0,71.0,14.0,0.0,3.0
411,9.0,7.0,71.0,11.0,0.0,3.0
324,9.0,7.5,71.0,10.0,0.0,3.0
192,8.5,7.5,73.5,8.0,0.0,3.0
91,8.0,6.5,76.0,8.0,0.0,3.0
73,8.0,6.5,76.0,8.0,0.0,3.0
33,8.0,6.0,76.0,11.0,0.0,3.0
19,8.0,5.5,76.0,14.0,0.0,3.0
40,8.5,6.5,73.5,11.0,0.0,3.0
74,8.0,5.5,82.0,14.0,0.0,3.0
530,8.0,5.0,84.5,15.0,0.0,3.0
1715,9.0,7.0,82.0,13.0,0.0,3.0
3534,9.0,7.0,82.0,12.0,0.0,3.0
1573,9.0,6.5,87.0,16.0,0.0,3.0
635,10.0,7.5,88.0,19.5,0.0,3.0
550,10.0,8.0,88.0,18.0,0.0,3.0
395,11.0,11.0,85.0,19.0,0.0,3.0
426,9.5,6.0,84.5,27.5,0.0,3.0
579,9.0,6.0,71.0,26.0,0.0,3.0
718,8.0,4.5,71.0,23.0,0.0,3.0
1184,8.0,5.0,68.5,19.5,0.0,3.0
2662,7.5,4.0,71.0,22.0,0.0,3.0
2610,7.0,4.0,71.0,17.5,0.0,3.0
1402,6.0,3.0,76.0,15.0,0.0,3.0
720,5.5,2.5,78.5,15.0,0.0,3.0
494,5.0,2.0,81.0,15.0,0.0,3.0
344,4.5,1.5,81.0,13.0,0.0,3.0
212,4.0,1.0,84.0,12.0,0.0,3.0
102,4.0,1.0,81.0,12.0,0.0,3.0
60,4.0,1.0,81.0,11.0,0.0,3.0
33,4.0,1.5,81.0,10.0,0.0,3.0
26,3.5,1.0,84.0,9.0,0.0,3.0
33,4.0,1.5,81.0,10.0,0.0,3.0
80,4.0,2.0,87.0,9.0,0.0,3.0
526,5.0,2.5,81.0,10.0,0.0,3.0
1757,5.5,2.5,81.0,13.0,0.0,3.0
3618,6.5,3.5,81.0,15.0,0.0,3.0
1714,8.0,5.0,76.0,19.0,0.0,3.0
763,8.0,5.0,82.0,19.5,0.0,3.0
690,9.0,6.0,76.0,21.0,0.0,3.0
913,9.0,5.5,76.0,27.0,0.0,3.0
982,9.5,6.0,71.5,28.0,0.0,3.0
783,10.0,6.5,62.0,28.5,0.0,3.0
794,9.0,6.0,68.5,25.0,0.0,3.0
1171,9.0,6.0,76.0,25.0,0.0,3.0
2647,9.5,6.5,71.5,24.0,0.0,3.0
2579,10.0,7.0,71.0,30.0,0.0,3.0
657,10.0,6.5,79.0,30.5,0.0,3.0
516,10.0,7.0,82.0,27.0,0.0,3.0
414,10.0,7.0,82.0,27.0,0.0,3.0
206,10.0,7.0,85.0,24.0,0.0,3.0
123,11.0,11.0,82.0,26.0,0.0,3.0
56,11.5,11.5,85.0,24.0,0.0,3.0
51,12.0,12.0,82.0,25.0,0.0,3.0
33,12.0,12.0,85.0,22.0,0.0,3.0
32,12.0,12.0,88.0,20.5,0.0,3.0
87,12.0,12.0,80.0,20.5,0.0,3.0
511,11.5,11.5,74.5,17.0,0.0,3.0
982,10.5,9.5,82.5,17.0,0.0,3.0
1228,9.5,7.5,87.5,14.0,0.0,3.0
573,9.0,7.0,87.0,13.0,0.0,3.0
185,9.0,7.0,87.0,14.0,0.0,3.0
193,9.0,6.0,82.0,20.5,0.0,3.0
522,9.0,6.5,84.5,17.0,0.0,3.0
672,9.0,5.5,79.0,27.0,0.0,3.0
761,10.0,7.0,71.0,22.0,0.0,3.0
781,9.0,6.0,71.0,22.0,0.0,3.0
1212,9.0,6.0,71.0,19.5,0.0,3.0
2351,9.0,6.0,76.0,22.0,0.0,3.0
2110,8.5,5.5,73.5,22.5,0.0,3.0
1239,8.0,5.0,73.5,20.5,0.0,3.0
752,8.0,5.0,76.0,17.0,0.0,3.0
457,8.0,4.5,76.0,20.5,0.0,3.0
423,8.5,5.5,73.5,21.0,0.0,3.0
267,9.0,5.5,76.0,27.0,0.0,3.0
147,10.0,7.0,71.0,28.0,0.0,3.0
60,10.0,7.0,73.5,30.0,0.0,3.0
65,10.0,6.5,79.0,29.5,0.0,3.0
42,11.0,11.0,79.5,29.0,0.0,3.0
47,11.0,11.0,85.0,33.0,0.0,3.0
85,11.5,11.5,85.0,33.0,0.0,3.0
441,12.0,12.0,82.0,32.5,0.0,3.0
1593,12.0,12.0,82.0,31.5,0.0,3.0
3505,12.0,12.0,79.5,25.0,0.0,3.0
1768,12.0,12.0,74.5,30.0,0.0,3.0
799,12.5,12.5,69.5,29.5,0.0,3.0
806,13.0,13.0,67.0,28.0,0.0,3.0
1052,13.0,13.0,67.0,26.0,0.0,3.0
1078,13.0,13.0,63.0,30.0,0.0,3.0
976,13.0,13.0,63.0,26.0,0.0,3.0
912,13.5,13.5,67.5,33.5,0.0,3.0
1229,13.0,13.0,79.5,37.0,0.0,3.0
2409,13.5,13.5,85.0,35.0,0.0,3.0
1983,15.0,15.0,82.0,36.0,0.0,3.0
