,t_real,t_feels_like,humidity,wind_speed,t_percent
10,3.0,0.07899999999999974,93.0,12.0,11.428571428571429
11,2.0,-0.9999999999999998,100.0,12.0,8.571428571428571
12,2.0,-1.107,96.5,13.0,8.571428571428571
13,3.0,-0.23899999999999988,87.0,15.0,11.428571428571429
15,2.0,-0.9140000000000001,93.0,11.0,8.571428571428571
16,3.0,0.07899999999999974,93.0,12.0,11.428571428571429
17,3.0,0.17899999999999983,93.0,11.0,11.428571428571429
36,10.0,7.75,85.0,11.0,31.428571428571427
40,10.0,7.434999999999999,73.5,13.0,31.428571428571427
41,9.5,6.9982500000000005,73.5,12.0,30.0
42,9.5,6.7555,69.0,14.0,30.0
43,9.0,6.238999999999999,71.0,14.0,28.57142857142857
44,9.0,6.238999999999999,71.0,14.0,28.57142857142857
45,9.0,6.539,71.0,11.0,28.57142857142857
50,8.0,5.508000000000001,76.0,11.0,25.71428571428571
51,8.0,5.208,76.0,14.0,25.71428571428571
52,8.5,6.024750000000001,73.5,11.0,27.142857142857142
53,8.0,5.256,82.0,14.0,25.71428571428571
54,8.0,5.176,84.5,15.0,25.71428571428571
55,9.0,6.437999999999999,82.0,13.0,28.57142857142857
56,9.0,6.538,82.0,12.0,28.57142857142857
57,9.0,6.183,87.0,16.0,28.57142857142857
58,10.0,6.9300000000000015,88.0,19.5,31.428571428571427
59,10.0,7.08,88.0,18.0,31.428571428571427
60,11.0,8.035,85.0,19.0,34.285714285714285
61,9.5,5.55275,84.5,27.5,30.0
62,9.0,5.039,71.0,26.0,28.57142857142857
63,8.0,4.268,71.0,23.0,25.71428571428571
64,8.0,4.598,68.5,19.5,25.71428571428571
65,7.5,3.8325000000000005,71.0,22.0,24.285714285714285
66,7.0,3.747,71.0,17.5,22.857142857142858
67,6.0,2.9560000000000004,76.0,15.0,20.0
68,5.5,2.43175,78.5,15.0,18.571428571428573
69,5.0,1.9050000000000002,81.0,15.0,17.142857142857142
70,4.5,1.5644999999999998,81.0,13.0,15.714285714285714
71,4.0,1.1360000000000001,84.0,12.0,14.285714285714285
72,4.0,1.1239999999999997,81.0,12.0,14.285714285714285
73,4.0,1.2239999999999998,81.0,11.0,14.285714285714285
79,5.5,2.6455,81.0,13.0,18.571428571428573
80,6.5,3.5265000000000004,81.0,15.0,21.428571428571427
81,8.0,4.708,76.0,19.0,25.71428571428571
82,8.0,4.706,82.0,19.5,25.71428571428571
83,9.0,5.584,76.0,21.0,28.57142857142857
84,9.0,4.983999999999999,76.0,27.0,28.57142857142857
85,9.5,5.37925,71.5,28.0,30.0
86,10.0,5.77,62.0,28.5,31.428571428571427
87,9.0,5.1165,68.5,25.0,28.57142857142857
88,9.0,5.183999999999999,76.0,25.0,28.57142857142857
89,9.5,5.779249999999999,71.5,24.0,30.0
90,10.0,5.710000000000001,71.0,30.0,31.428571428571427
91,10.0,5.739999999999999,79.0,30.5,31.428571428571427
