,t_real,t_feels_like,humidity,wind_speed
10,3.0,-0.5,93.0,12.0
11,2.0,-1.5,100.0,12.0
12,2.0,-1.5,96.5,13.0
13,3.0,-0.5,87.0,15.0
15,2.0,-1.5,93.0,11.0
16,3.0,0.0,93.0,12.0
17,3.0,0.0,93.0,11.0
36,10.0,8.0,85.0,11.0
40,10.0,8.5,73.5,13.0
41,9.5,7.5,73.5,12.0
42,9.5,7.5,69.0,14.0
43,9.0,6.5,71.0,14.0
44,9.0,7.0,71.0,14.0
45,9.0,7.0,71.0,11.0
50,8.0,6.0,76.0,11.0
51,8.0,5.5,76.0,14.0
52,8.5,6.5,73.5,11.0
53,8.0,5.5,82.0,14.0
54,8.0,5.0,84.5,15.0
55,9.0,7.0,82.0,13.0
56,9.0,7.0,82.0,12.0
57,9.0,6.5,87.0,16.0
58,10.0,7.5,88.0,19.5
59,10.0,8.0,88.0,18.0
60,11.0,11.0,85.0,19.0
61,9.5,6.0,84.5,27.5
62,9.0,6.0,71.0,26.0
63,8.0,4.5,71.0,23.0
64,8.0,5.0,68.5,19.5
65,7.5,4.0,71.0,22.0
66,7.0,4.0,71.0,17.5
67,6.0,3.0,76.0,15.0
68,5.5,2.5,78.5,15.0
69,5.0,2.0,81.0,15.0
70,4.5,1.5,81.0,13.0
71,4.0,1.0,84.0,12.0
72,4.0,1.0,81.0,12.0
73,4.0,1.0,81.0,11.0
79,5.5,2.5,81.0,13.0
80,6.5,3.5,81.0,15.0
81,8.0,5.0,76.0,19.0
82,8.0,5.0,82.0,19.5
83,9.0,6.0,76.0,21.0
84,9.0,5.5,76.0,27.0
85,9.5,6.0,71.5,28.0
86,10.0,6.5,62.0,28.5
87,9.0,6.0,68.5,25.0
88,9.0,6.0,76.0,25.0
89,9.5,6.5,71.5,24.0
90,10.0,7.0,71.0,30.0
91,10.0,6.5,79.0,30.5
92,10.0,7.0,82.0,27.0
93,10.0,7.0,82.0,27.0
94,10.0,7.0,85.0,24.0
95,11.0,11.0,82.0,26.0
96,11.5,11.5,85.0,24.0
97,12.0,12.0,82.0,25.0
98,12.0,12.0,85.0,22.0
99,12.0,12.0,88.0,20.5
100,12.0,12.0,80.0,20.5
101,11.5,11.5,74.5,17.0
102,10.5,9.5,82.5,17.0
103,9.5,7.5,87.5,14.0
104,9.0,7.0,87.0,13.0
105,9.0,7.0,87.0,14.0
106,9.0,6.0,82.0,20.5
107,9.0,6.5,84.5,17.0
108,9.0,5.5,79.0,27.0
109,10.0,7.0,71.0,22.0
110,9.0,6.0,71.0,22.0
111,9.0,6.0,71.0,19.5
112,9.0,6.0,76.0,22.0
113,8.5,5.5,73.5,22.5
114,8.0,5.0,73.5,20.5
115,8.0,5.0,76.0,17.0
116,8.0,4.5,76.0,20.5
117,8.5,5.5,73.5,21.0
118,9.0,5.5,76.0,27.0
119,10.0,7.0,71.0,28.0
120,10.0,7.0,73.5,30.0
121,10.0,6.5,79.0,29.5
122,11.0,11.0,79.5,29.0
