,keywords,segments,visit count,popularity
1,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],822,0.016966231420222178
3,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],307,0.006336536552321422
4,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],778,0.016058063315003476
10,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",418,0.008627596999577701
16,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],324,0.006687419683883195
18,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],436,0.008999120315348991
20,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],479,0.009886648236358181
25,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],607,0.012528591815176232
28,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],122,0.002518102473560956
30,"['صفحه اخبار', 'صفحه', 'اخبار']","['sarmayegozari', 'maleSegment', 'varzeshi']",209,0.004615534785894396
33,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],549,0.011331461131024302
37,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],301,0.006212695447064326
39,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],584,0.04416243002258787
40,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],826,0.017048792157060243
41,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],323,0.006666779499673678
43,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],72,0.0014860932630851545
44,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],70,0.0014448128946661224
45,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],30,0.000619205526285481
46,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],546,0.011269540578395755
47,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],235,0.004850443289236268
50,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],726,0.014984773736108641
53,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],281,0.0062055754776857664
55,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],403,0.00831799423643496
56,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],934,0.020626361196293616
58,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],126,0.0026006632103990203
59,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],287,0.005923732868131102
64,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],818,0.016883670683384113
66,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],133,0.010057539714048266
71,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],42,0.0031760651728573474
76,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],599,0.012363470341500104
78,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],766,0.015810381104489284
84,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],219,0.004520200341884011
85,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],213,0.016107187662347974
86,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],634,0.013085876788833163
87,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],751,0.016585007771323882
91,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],689,0.014221086920356547
92,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],390,0.008049671841711252
95,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],808,0.016677268841288957
100,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",214,0.004416999420836431
104,"['صفحه اخبار', 'صفحه', 'اخبار']",['sarmayegozari'],118,0.00260590002265808
108,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],911,0.02011843153086026
119,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],126,0.0026006632103990203
122,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],304,0.006713505143119121
127,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],213,0.004396359236626915
128,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],453,0.009350003446910763
134,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],405,0.008359274604853993
140,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],299,0.006171415078645295
141,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],910,0.01878256763065959
142,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],231,0.004767882552398204
147,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],323,0.006666779499673678
148,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],41,0.0008462475525901573
149,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],329,0.006790620604930775
150,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],766,0.015810381104489284
152,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],231,0.004767882552398204
153,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],554,0.011434662052071883
154,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",370,0.007636868157520933
